WITTCASE NUMBER: HA002127
SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
  0.08   	   5.09		 27.98   	-437.43		
  0.10   	   0.00		 26.23   	-437.43		
  0.10   	   0.00		 24.48   	-462.87		
  0.10   	   0.00		 22.62   	-488.30		
  0.10   	   0.00		 20.67   	-467.95		
  0.10   	   0.00		 18.80   	-406.92		
  0.10   	   0.00		 17.17   	-386.57		
  0.10   	   0.00		 15.63   	-396.74		
  0.10   	   0.00		 14.04   	-386.57		
  0.10   	   0.00		 12.49   	-325.53		
  0.10   	   0.00		 11.19   	-254.32		
  0.10   	   0.00		 10.17   	-172.94		
  0.10   	   0.00		  9.48   	-137.33		
  0.10   	   0.00		  8.93   	-116.99		
  0.10   	   0.00		  8.46   	 -96.64		
  0.10   	   0.00		  8.08   	 -61.04		
  0.10   	   0.00		  7.83   	 -25.43		
  0.10   	  -5.09		  7.73   	  10.17		
  0.08   	   5.09		  7.77   	  35.61		
  0.10   	  -5.09		  7.91   	  45.78		
  0.08   	   5.09		  8.10   	  50.86		
  0.10   	   0.00		  8.30   	  66.12		
  0.10   	   0.00		  8.57   	  66.12		
  0.10   	   0.00		  8.83   	  55.95		
  0.10   	   0.00		  9.05   	  30.52		
  0.10   	   0.00		  9.18   	  15.26		
  0.10   	   0.00		  9.24   	   5.09		
  0.10   	   0.00		  9.26   	   5.09		
  0.10   	   0.00		  9.28   	   5.09		
  0.10   	   0.00		  9.30   	   0.00		
  0.10   	   0.00		  9.30   	 -10.17		
  0.10   	  -5.09		  9.26   	 -10.17		
  0.08   	   0.00		  9.22   	  -5.09		
  0.08   	   0.00		  9.20   	  15.26		
  0.08   	   5.09		  9.26   	  35.61		
  0.10   	   0.00		  9.40   	  55.95		
  0.10   	  -5.09		  9.62   	  76.30		
  0.08   	   5.09		  9.93   	 111.90		
  0.10   	   0.00		 10.38   	 147.51		
  0.10   	   5.09		 10.97   	 162.77		
  0.12   	  -5.09		 11.62   	 132.25		
  0.10   	  -5.09		 12.15   	  86.47		
  0.08   	   5.09		 12.49   	  35.61		
  0.10   	   0.00		 12.63   	   0.00		
  0.10   	   0.00		 12.63   	 -25.43		
  0.10   	  -5.09		 12.53   	 -45.78		
  0.08   	   5.09		 12.35   	 -66.12		
  0.10   	   0.00		 12.09   	 -55.95		
  0.10   	  -5.09		 11.86   	 -10.17		
  0.08   	   5.09		 11.82(E)	  20.35		
  0.10   	   0.00		 11.90   	  40.69		
  0.10   	   0.00		 12.07   	  40.69		
  0.10   	   0.00		 12.23   	  50.86		
