WITTCASE NUMBER: HA002206
SAMPLE NUMBER:   22
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  LV     	  LV'		
 22.58   	-157.68		 43.72   	-966.43		
 21.95   	-132.25		 39.86   	-910.47		
 21.42   	 -86.47		 36.22   	-813.83		
 21.08   	 -40.69		 32.96   	-712.10		
 20.92   	 -10.17		 30.11   	-635.81		
 20.87   	  30.52		 27.57   	-549.34		
 21.00   	  71.21		 25.37   	-473.04		
 21.28   	 101.73		 23.48   	-422.18		
 21.69   	 111.90		 21.79   	-386.57		
 22.14   	 122.07		 20.24   	-356.05		
 22.62   	 111.90		 18.82   	-330.62		
 23.07   	 111.90		 17.50   	-310.27		
 23.52   	 111.90		 16.26   	-310.27		
 23.97   	 106.82		 15.02   	-300.10		
 24.39   	  86.47		 13.81   	-284.84		
 24.74   	  66.12		 12.68   	-284.84		
 25.00   	  66.12		 11.54   	-274.67		
 25.27   	  45.78		 10.44   	-244.15		
 25.45   	  10.17		  9.46   	-213.63		
 25.49   	   0.00		  8.61   	-178.03		
 25.49   	  -5.09		  7.89   	-152.59		
 25.47   	 -30.52		  7.28   	-106.82		
 25.35   	 -76.30		  6.86   	 -66.12		
 25.05   	 -81.38		  6.59   	 -25.43		
 24.72   	 -76.30		  6.49   	   0.00		
 24.41   	 -91.56		  6.49   	   5.09		
 24.05   	-106.82		  6.51   	  15.26		
 23.62   	-106.82		  6.57   	  45.78		
 23.19   	-106.82		  6.75   	  45.78		
 22.77   	-111.90		  6.94   	  50.86		
 22.32   	-106.82		  7.14   	  71.21		
 21.89   	 -91.56		  7.43   	  71.21		
 21.53   	 -81.38		  7.71   	  50.86		
 21.20   	 -71.21		  7.91   	  45.78		
 20.92   	 -66.12		  8.10   	  55.95		
 20.65   	 -45.78		  8.32   	  45.78		
 20.47   	 -35.61		  8.50   	  30.52		
 20.33   	 -55.95		  8.63   	  10.17		
 20.10   	 -61.04		  8.67   	  15.26		
 19.86   	 -50.86		  8.73   	  20.35		
 19.65   	 -45.78		  8.81   	  10.17		
 19.47   	 -35.61		  8.85   	  10.17		
 19.33   	 -30.52		  8.89   	  15.26		
 19.21   	 -35.61		  8.95   	  30.52		
 19.06   	 -40.69		  9.07   	  30.52		
 18.90   	 -50.86		  9.20   	  35.61		
 18.70   	 -55.95		  9.34   	  40.69		
 18.47   	 -35.61		  9.50   	  40.69		
 18.33   	 -40.69		  9.66   	  45.78		
 18.17   	 -45.78		  9.85   	  40.69		
 17.99   	 -45.78		 10.01   	  40.69		
 17.80   	 -40.69		 10.17   	  45.78		
 17.64   	 -30.52		 10.36   	  45.78		
 17.52   	 -35.61		 10.54   	  40.69		
 17.38   	 -40.69		 10.70   	  35.61		
 17.21   	 -45.78		 10.84   	  35.61		
 17.03   	 -45.78		 10.99   	  35.61		
 16.85   	 -45.78		 11.13   	  30.52		
 16.66   	 -45.78		 11.25   	  25.43		
 16.48   	 -50.86		 11.35   	  25.43		
