WITTCASE NUMBER: HA002439
SAMPLE NUMBER:   31
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  AO     	  AO'		
 38.33   	 -25.43		 79.39   	 -40.69		
 38.23   	 -30.52		 79.23   	 -45.78		
 38.11   	 -25.43		 79.04   	 -50.86		
 38.01   	 -30.52		 78.84   	 -50.86		
 37.88   	 -35.61		 78.64   	 -55.95		
 37.74   	 -35.61		 78.41   	 -50.86		
 37.60   	 -30.52		 78.21   	 -50.86		
 37.48   	 -35.61		 78.01   	 -50.86		
 37.33   	 -35.61		 77.80   	 -45.78		
 37.19   	 -35.61		 77.62   	 -50.86		
 37.05   	 -40.69		 77.42   	 -45.78		
 36.89   	 -35.61		 77.23   	 -45.78		
 36.74   	 -40.69		 77.05   	 -45.78		
 36.58   	 -40.69		 76.87   	 -50.86		
 36.42   	 -45.78		 76.66   	 -50.86		
 36.24   	 -40.69		 76.46   	 -50.86		
 36.07   	 -40.69		 76.26   	 -50.86		
 35.91   	 -45.78		 76.05   	 -45.78		
 35.73   	 -45.78		 75.87   	 -50.86		
 35.54   	 -45.78		 75.67   	 -50.86		
 35.36   	 -40.69		 75.46   	 -50.86		
 35.20   	 -40.69		 75.26   	 -45.78		
 35.04   	 -45.78		 75.08   	 -50.86		
 34.85   	 -35.61		 74.87   	 -45.78		
 34.71   	 -30.52		 74.69   	 -45.78		
 34.59   	 -30.52		 74.51   	 -45.78		
 34.47   	 -30.52		 74.32   	 -50.86		
 34.34   	 -25.43		 74.12   	 -45.78		
 34.24   	 -20.35		 73.94   	 -45.78		
 34.16   	 -25.43		 73.75   	 -50.86		
 34.06   	 -20.35		 73.55   	 -45.78		
 33.98   	 -25.43		 73.37   	 -45.78		
 33.88   	 -15.26		 73.18   	 -40.69		
 33.81   	 -15.26		 73.02   	 -45.78		
 33.75   	 -10.17		 72.84   	 -50.86		
