WITTCASE NUMBER: HA002463
SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RRA     	  RRA'		
 45.70   	-554.42		 69.07   	 -91.56		
 43.48   	-539.16		 68.71   	-106.82		
 41.32   	-523.90		 68.28   	-106.82		
 39.23   	-513.73		 67.85   	-116.99		
 37.17   	-508.65		 67.39   	-122.07		
 35.14   	-498.47		 66.90   	-127.16		
 33.14   	-483.21		 66.39   	-127.16		
 31.21   	-457.78		 65.88   	-137.33		
 29.38   	-432.35		 65.33   	-132.25		
 27.65   	-406.92		 64.80   	-142.42		
 26.02   	-396.74		 64.23   	-147.51		
 24.44   	-391.66		 63.64   	-147.51		
 22.87   	-381.48		 63.05   	-147.51		
 21.34   	-345.88		 62.46   	-152.59		
 19.96   	-315.36		 61.85   	-152.59		
 18.70   	-284.84		 61.24   	-152.59		
 17.56   	-249.24		 60.63   	-157.68		
 16.56   	-223.80		 60.00   	-152.59		
 15.67   	-198.37		 59.39   	-157.68		
 14.87   	-178.03		 58.76   	-147.51		
 14.16   	-162.77		 58.17   	-147.51		
 13.51   	-142.42		 57.58   	-137.33		
 12.94   	-116.99		 57.03   	-137.33		
 12.47   	-101.73		 56.48   	-132.25		
 12.07   	 -91.56		 55.95   	-127.16		
 11.70   	 -96.64		 55.44   	-127.16		
 11.31   	-116.99		 54.93   	-122.07		
 10.84   	-116.99		 54.45   	-122.07		
 10.38   	-116.99		 53.96   	-127.16		
  9.91   	-111.90		 53.45   	-116.99		
  9.46   	-101.73		 52.98   	-122.07		
  9.05   	 -96.64		 52.49   	-116.99		
  8.67   	 -81.38		 52.02   	-116.99		
  8.34   	 -71.21		 51.56   	-111.90		
  8.06   	 -55.95		 51.11   	-106.82		
  7.83   	 -35.61		 50.68   	-106.82		
  7.69   	 -25.43		 50.25   	-101.73		
  7.59   	 -15.26		 49.85   	 -91.56		
  7.53   	  -5.09		 49.48   	 -91.56		
  7.51   	 -10.17		 49.11   	 -81.38		
  7.47   	  -5.09		 48.79   	 -81.38		
  7.45   	  -5.09		 48.46   	 -76.30		
  7.43   	   0.00		 48.16   	 -76.30		
  7.43   	   0.00		 47.85   	 -66.12		
  7.43   	  10.17		 47.59   	 -71.21		
  7.47   	  10.17		 47.30   	 -66.12		
  7.51   	  20.35		 47.04   	 -66.12		
  7.59   	  25.43		 46.77   	 -61.04		
  7.69   	  30.52		 46.53   	 -61.04		
  7.81   	  30.52		 46.29   	 -61.04		
  7.93   	  25.43		 46.04   	 -55.95		
  8.04   	  25.43		 45.82   	 -55.95		
  8.14   	  20.35		 45.59   	 -50.86		
  8.22   	  25.43		 45.39   	 -50.86		
  8.32   	  20.35		 45.19   	 -45.78		
  8.40   	  25.43		 45.00   	 -40.69		
  8.50   	  20.35		 44.84   	 -40.69		
  8.59   	  20.35		 44.68   	 -35.61		
  8.67   	  15.26		 44.54   	 -30.52		
  8.73   	  20.35		 44.41   	 -35.61		
  8.81   	  25.43		 44.27   	 -30.52		
  8.91   	  25.43		 44.15   	 -25.43		
