WITTCASE NUMBER: HB001304
SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  MPA     	  MPA'		
 74.04   	 -40.69		 47.98   	-147.51		
 73.88   	 -50.86		 47.39   	-172.94		
 73.67   	 -45.78		 46.69   	-193.29		
 73.49   	 -50.86		 45.92   	-218.72		
 73.29   	 -55.95		 45.05   	-239.06		
 73.06   	 -71.21		 44.09   	-239.06		
 72.78   	 -76.30		 43.13   	-228.89		
 72.47   	 -76.30		 42.22   	-213.63		
 72.17   	 -81.38		 41.36   	-178.03		
 71.84   	 -91.56		 40.65   	-147.51		
 71.47   	 -91.56		 40.06   	-127.16		
 71.11   	-101.73		 39.55   	 -96.64		
 70.70   	-111.90		 39.17   	 -71.21		
 70.25   	-127.16		 38.88   	 -40.69		
 69.75   	-137.33		 38.72   	 -20.35		
 69.20   	-142.42		 38.64   	   0.00		
 68.63   	-142.42		 38.64   	   5.09		
 68.06   	-152.59		 38.66   	   5.09		
 67.45   	-152.59		 38.68   	   0.00		
 66.84   	-152.59		 38.68   	 -20.35		
 66.23   	-157.68		 38.60   	 -35.61		
 65.59   	-147.51		 38.45   	 -61.04		
 65.00   	-142.42		 38.21   	 -86.47		
 64.44   	-132.25		 37.86   	-101.73		
 63.91   	-116.99		 37.46   	-132.25		
 63.44   	-111.90		 36.93   	-142.42		
 62.99   	-101.73		 36.36   	-152.59		
 62.58   	 -91.56		 35.75   	-167.85		
 62.22   	 -91.56		 35.08   	-172.94		
 61.85   	 -86.47		 34.38   	-172.94		
 61.51   	 -91.56		 33.69   	-162.77		
 61.14   	 -86.47		 33.04   	-147.51		
 60.79   	 -91.56		 32.45   	-116.99		
 60.43   	 -91.56		 31.98   	 -81.38		
 60.06   	 -86.47		 31.66   	 -40.69		
 59.71   	 -86.47		 31.50   	 -10.17		
 59.37   	 -76.30		 31.45   	   5.09		
 59.06   	 -71.21		 31.47   	   0.00		
 58.78   	 -76.30		 31.47   	 -20.35		
 58.47   	 -76.30		 31.39   	 -45.78		
 58.17   	 -76.30		 31.21   	 -81.38		
 57.86   	 -71.21		 30.88   	-111.90		
 57.58   	 -71.21		 30.44   	-127.16		
 57.29   	 -66.12		 29.93   	-152.59		
 57.03   	 -55.95		 29.32   	-152.59		
