WITTCASE NUMBER: HB001757
SAMPLE NUMBER:   45
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
 21.57   	-457.78		110.62   	-315.36		
 19.74   	-417.09		109.36   	-295.01		
 18.07   	-376.40		108.18   	-269.58		
 16.56   	-345.88		107.10   	-244.15		
 15.18   	-310.27		106.12   	-223.80		
 13.94   	-305.19		105.23   	-213.63		
 12.72   	-300.10		104.37   	-208.54		
 11.52   	-269.58		103.54   	-203.46		
 10.44   	-228.89		102.73   	-203.46		
  9.52   	-198.37		101.91   	-198.37		
  8.73   	-172.94		101.12   	-188.20		
  8.04   	-142.42		100.37   	-178.03		
  7.47   	-106.82		 99.65   	-172.94		
  7.04   	 -81.38		 98.96   	-162.77		
  6.71   	 -45.78		 98.31   	-152.59		
  6.53   	 -25.43		 97.70   	-152.59		
  6.43   	 -10.17		 97.09   	-147.51		
  6.39   	   0.00		 96.50   	-147.51		
  6.39   	  -5.09		 95.91   	-137.33		
  6.37   	  -5.09		 95.36   	-127.16		
  6.35   	 -10.17		 94.85   	-127.16		
  6.31   	   0.00		 94.34   	-116.99		
  6.31   	   5.09		 93.88   	-111.90		
  6.33   	  25.43		 93.43   	-106.82		
  6.43   	  40.69		 93.00   	-106.82		
  6.59   	  61.04		 92.57   	 -96.64		
  6.84   	  86.47		 92.19   	 -96.64		
  7.18   	 101.73		 91.80   	 -91.56		
  7.59   	 116.99		 91.43   	 -96.64		
  8.06   	 122.07		 91.05   	 -96.64		
  8.55   	 116.99		 90.66   	-101.73		
  9.01   	 106.82		 90.25   	-101.73		
  9.44   	  91.56		 89.85   	-101.73		
  9.81   	  76.30		 89.44   	 -96.64		
 10.11   	  61.04		 89.05   	 -86.47		
 10.36   	  30.52		 88.71   	 -91.56		
 10.48   	  -5.09		 88.34   	 -81.38		
 10.46   	 -45.78		 88.02   	 -91.56		
 10.27   	 -91.56		 87.65   	 -91.56		
  9.91   	-122.07		 87.28   	 -86.47		
