WITTCASE NUMBER: HB002519
SAMPLE NUMBER:   17
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  LRA     	  LRA'		
 30.27   	-549.34		 65.47   	-157.68		
 28.08   	-508.65		 64.84   	-152.59		
 26.04   	-462.87		 64.23   	-157.68		
 24.19   	-422.18		 63.60   	-157.68		
 22.50   	-386.57		 62.97   	-152.59		
 20.96   	-361.14		 62.36   	-152.59		
 19.51   	-335.71		 61.75   	-152.59		
 18.17   	-315.36		 61.14   	-147.51		
 16.91   	-300.10		 60.55   	-147.51		
 15.71   	-295.01		 59.96   	-147.51		
 14.53   	-279.75		 59.37   	-147.51		
 13.41   	-269.58		 58.78   	-142.42		
 12.33   	-254.32		 58.21   	-142.42		
 11.31   	-249.24		 57.64   	-142.42		
 10.32   	-228.89		 57.07   	-142.42		
  9.40   	-218.72		 56.50   	-137.33		
  8.52   	-198.37		 55.95   	-137.33		
  7.73   	-172.94		 55.40   	-142.42		
  7.04   	-147.51		 54.83   	-132.25		
  6.45   	-127.16		 54.30   	-137.33		
  5.94   	 -96.64		 53.75   	-132.25		
  5.55   	 -76.30		 53.22   	-127.16		
  5.25   	 -55.95		 52.72   	-127.16		
  5.03   	 -35.61		 52.21   	-122.07		
  4.88   	 -25.43		 51.72   	-116.99		
  4.78   	 -15.26		 51.25   	-111.90		
  4.72   	 -10.17		 50.80   	-106.82		
  4.68   	   0.00		 50.38   	-101.73		
  4.68   	  -5.09		 49.97   	 -91.56		
  4.66   	   5.09		 49.60   	 -86.47		
  4.68   	   0.00		 49.26   	 -81.38		
  4.68   	   5.09		 48.93   	 -76.30		
  4.70   	   5.09		 48.63   	 -66.12		
  4.72   	   5.09		 48.36   	 -61.04		
  4.74   	   0.00		 48.12   	 -50.86		
  4.74   	   0.00		 47.91   	 -45.78		
  4.74   	   0.00		 47.73   	 -45.78		
  4.74   	   0.00		 47.55   	 -35.61		
  4.74   	  -5.09		 47.41   	 -25.43		
  4.72   	   0.00		 47.30   	 -25.43		
  4.72   	  -5.09		 47.20   	 -20.35		
  4.70   	  -5.09		 47.12   	 -15.26		
  4.68   	  -5.09		 47.06   	 -10.17		
  4.66   	   0.00		 47.02   	  -5.09		
  4.66   	   0.00		 47.00   	   0.00		
  4.66   	   0.00		 47.00   	   0.00		
  4.66   	   5.09		 47.00   	   5.09		
  4.68   	   5.09		 47.02   	  10.17		
  4.70   	   5.09		 47.06   	   5.09		
  4.72   	  10.17		 47.08   	  15.26		
  4.76   	   5.09		 47.14   	  10.17		
  4.78   	  10.17		 47.18   	  15.26		
  4.82   	   5.09		 47.24   	  10.17		
  4.84   	  10.17		 47.28   	  15.26		
  4.88   	   5.09		 47.34   	  10.17		
