WITTCASE NUMBER: HB003014
SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
  8.24   	  10.17		 45.84   	 -20.35		
  8.28   	  15.26		 45.76   	 -20.35		
  8.34   	  15.26		 45.68   	 -20.35		
  8.40   	  20.35		 45.59   	 -20.35		
  8.48   	  30.52		 45.51   	 -20.35		
  8.61   	  35.61		 45.43   	 -20.35		
  8.75   	  61.04		 45.35   	 -20.35		
  8.99   	  91.56		 45.27   	 -20.35		
  9.36   	 116.99		 45.19   	 -15.26		
  9.83   	 147.51		 45.13   	 -25.43		
 10.42   	 183.11		 45.03   	 -20.35		
 11.15   	 218.72		 44.94   	 -20.35		
 12.02   	 244.15		 44.86   	 -20.35		
 13.00   	 335.71		 44.78   	 -20.35		
 14.34   	 350.97		 44.70   	 -25.43		
 15.75   	 361.14		 44.60   	 -20.35		
 17.19   	 366.22		 44.52   	 -15.26		
 18.66   	 366.22		 44.46   	 -20.35		
 20.12   	 366.22		 44.37   	 -20.35		
 21.59   	 356.05		 44.29   	 -15.26		
 23.01   	 345.88		 44.23   	 -20.35		
 24.39   	 330.62		 44.15   	 -15.26		
 25.72   	 315.36		 44.09   	 -20.35		
 26.98   	 295.01		 44.01   	 -20.35		
 28.16   	 279.75		 43.93   	 -15.26		
 29.28   	 259.41		 43.87   	 -20.35		
 30.32   	 249.24		 43.78   	 -15.26		
 31.31   	 233.98		 43.72   	 -20.35		
 32.25   	 223.80		 43.64   	 -20.35		
 33.14   	 208.54		 43.56   	 -15.26		
 33.98   	 203.46		 43.50   	 -20.35		
 34.79   	 188.20		 43.42   	 -15.26		
 35.54   	 183.11		 43.36   	 -20.35		
 36.28   	 178.03		 43.28   	 -20.35		
 36.99   	 172.94		 43.19   	 -20.35		
 37.68   	 162.77		 43.11   	 -15.26		
 38.33   	 162.77		 43.05   	 -20.35		
 38.98   	 152.59		 42.97   	 -15.26		
 39.59   	 157.68		 42.91   	 -15.26		
 40.22   	 152.59		 42.85   	   0.00		
 40.83   	 142.42		 42.85   	   5.09		
 41.40   	 132.25		 42.87   	  25.43		
 41.93   	 127.16		 42.97   	  40.69		
 42.44   	 111.90		 43.13   	  66.12		
 42.89   	 111.90		 43.40   	  91.56		
